+------+--------------------------------------------------------------------------------------------------------------------------------+
| 编号 | 名称                                                                                                                           |
|  62  | 辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台)                                                                              |
|  63  | 低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港)                                                                      |
|  64  | 入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台)                                                                        |
|  65  | 饮食男女 / 飲食男女 / Eat Drink Man Woman                                                                                      |
|  66  | 蝴蝶效应 / The Butterfly Effect / 蝴蝶效应                                                                                     |
|  67  | 沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊                                                                             |
|  68  | 本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童                                              |
|  69  | 玛丽和马克思 / Mary and Max / 巧克力情缘  /  玛丽和麦克斯                                                                      |
|  70  | 黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台)                                                                  |
|  71  | 控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇                                                                     |
|  72  | 拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台)                                                         |
|  73  | 西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜                                                                          |
|  74  | 幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女                                                                                  |
|  75  | 心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手                                                                       |
|  76  | 第六感 / The Sixth Sense / 灵异第六感  /  鬼眼                                                                                 |
|  77  | 阳光灿烂的日子 / In the Heat of the Sun                                                                                        |
|  78  | 大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台)                                                                                |
|  79  | 让子弹飞 / 让子弹飞一会儿  /  火烧云                                                                                           |
|  80  | 素媛 / 소원 / 许愿  /  希望：为爱重生(台)                                                                                      |
|  81  | 射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本)                                                       |
|  82  | 阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼                                                                                    |
|  83  | 大闹天宫 / 大闹天宫 上下集  /  The Monkey King                                                                                 |
|  84  | 上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台)                                                                    |
|  85  | 春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together                                                                              |
|  86  | 重庆森林 / 重慶森林 / Chungking Express                                                                                        |
|  87  | 禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台)                                                                            |
|  88  | 甜蜜蜜 / Comrades: Almost a Love Story                                                                                         |
|  89  | 致命ID / Identity / 杀人游戏  /  致命身份                                                                                      |
|  90  | 告白 / 自白  /  母亲                                                                                                           |
|  91  | 萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌                                                                          |
|  92  | 一一 / Yi yi  /  Yi yi: A One and a Two                                                                                        |
|  93  | 加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台) |
|  94  | 爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台)                                                          |
|  95  | 风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika                                                              |
|  96  | 阿凡达 / Avatar / 天神下凡  /  化身                                                                                            |
|  97  | 爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台)                                                           |
|  98  | 侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女                                                                                |
|  99  | 断背山 / Brokeback Mountain / 断臂山                                                                                           |
